pre-pulse voltage (mV),Average normalised peak current,SD
-90,1,0
-80,0.99157,0.030643383
-70,0.96279,0.074920905
-60,0.86558,0.105335573
-50,0.65509,0.137764722
-40,0.36096,0.085463961
-30,0.15772,0.030834007
-20,0.04347,0
-10,0.0094,0
0,0,0
10,0,0
20,0,0
30,0,0
40,0,0
50,0,0
60,0,0
